Simulation,ComputationTime,TreeSize
1,485.87,102
2,304.16,224
3,82.70,172
4,516.14,144
5,202.03,231
6,518.57,196
7,505.36,99
8,332.26,197
9,493.86,171
10,562.66,116
11,661.68,117
12,479.45,143
13,530.94,150
14,485.34,231
15,529.38,118
16,571.10,168
17,534.53,162
18,431.79,201
19,548.36,155
20,205.03,218
21,536.35,140
22,488.35,88
23,245.17,194
24,370.70,195
25,498.55,216
26,505.55,120
27,468.65,174
28,444.59,156
29,631.88,126
30,496.32,200
31,545.92,179
32,238.75,189
33,116.67,200
34,503.80,187
35,507.18,154
36,185.38,224
37,510.93,190
38,498.17,125
39,613.28,77
40,238.90,178
41,525.44,141
42,433.84,202
43,495.51,223
44,602.41,227
45,498.58,134
46,457.52,194
47,651.79,156
48,501.63,100
49,139.92,188
50,462.60,141
51,558.68,176
52,495.97,179
53,510.84,90
54,459.87,181
55,572.89,146
56,127.74,201
57,447.29,172
58,433.20,177
59,580.60,157
60,607.15,124
61,606.11,109
62,494.34,134
63,609.70,77
64,514.28,212
65,617.96,174
66,74.48,171
67,212.07,191
68,585.03,168
69,537.58,168
70,489.83,196
71,348.09,197
72,631.86,104
73,604.76,192
74,510.38,190
75,510.29,135
76,548.21,15
77,544.93,137
78,182.05,222
79,499.95,112
80,236.86,189
81,541.64,75
82,455.80,195
83,538.67,162
84,502.99,162
85,577.20,112
86,487.52,149
87,523.07,130
88,556.59,184
89,155.41,181
90,95.77,175
91,539.12,178
92,114.38,193
93,553.98,135
94,305.30,214
95,487.55,174
96,534.15,90
97,547.47,156
98,516.03,178
99,414.46,176
100,432.41,218
