Simulation,ComputationTime,TreeSize
1,678.25,89
2,96.31,144
3,144.82,160
4,283.69,178
5,351.42,171
6,605.61,75
7,431.10,190
8,548.64,159
9,692.01,155
10,625.82,129
11,383.19,181
12,144.31,162
13,86.42,156
14,256.50,188
15,266.89,171
16,602.76,139
17,587.47,149
18,35.52,139
19,620.25,97
20,233.82,153
21,48.70,138
22,420.89,144
23,580.22,156
24,664.22,146
25,30.66,152
26,89.59,162
27,52.73,148
28,524.11,117
29,103.33,146
30,206.10,170
31,272.38,173
32,222.99,174
33,784.63,112
34,83.04,174
35,628.53,100
36,603.28,104
37,137.02,154
38,140.56,154
39,647.86,122
40,372.73,173
41,155.07,156
42,629.40,159
43,568.60,146
44,384.05,178
45,369.66,177
46,93.50,167
47,688.42,157
48,633.10,153
49,49.73,146
50,376.76,177
51,351.26,157
52,110.94,186
53,43.62,148
54,146.24,157
55,40.38,154
56,581.76,191
57,592.14,82
58,567.69,112
59,553.46,63
60,229.00,152
61,551.89,90
62,330.88,164
63,95.53,165
64,594.64,153
65,541.66,130
66,529.90,120
67,183.06,132
68,114.92,157
69,609.02,111
70,642.52,94
71,585.12,120
72,650.00,108
73,286.86,170
74,188.26,154
75,302.22,140
76,521.21,192
77,637.86,141
78,158.39,180
79,347.05,184
80,366.71,137
81,375.93,158
82,604.70,132
83,231.09,163
84,656.27,136
85,155.82,181
86,614.11,95
87,44.34,137
88,645.70,132
89,597.08,138
90,553.21,115
91,572.41,178
92,663.48,122
93,61.61,161
94,153.34,159
95,415.00,157
96,558.39,110
97,621.85,98
98,387.20,158
99,628.10,108
100,589.93,123
