Simulation,ComputationTime,TreeSize
1,89.60,132
2,146.42,126
3,98.99,103
4,269.05,121
5,29.68,128
6,68.23,120
7,67.55,103
8,281.04,118
9,123.94,126
10,215.48,150
11,36.13,132
12,367.57,131
13,66.24,116
14,77.41,109
15,37.48,107
16,94.09,128
17,187.89,121
18,165.87,135
19,126.37,120
20,245.69,107
21,63.56,119
22,107.39,147
23,77.01,99
24,93.58,112
25,260.61,137
26,784.74,107
27,200.51,132
28,127.31,124
29,39.16,149
30,299.86,150
31,71.33,104
32,689.40,106
33,30.81,115
34,111.22,148
35,426.72,128
36,45.89,120
37,60.14,126
38,40.28,118
39,151.84,148
40,683.37,81
41,21.82,97
42,39.93,124
43,41.05,113
44,346.36,125
45,426.45,122
46,221.46,130
47,114.07,118
48,422.21,117
49,64.16,119
50,616.22,139
51,720.39,113
52,62.57,131
53,295.54,157
54,159.22,122
55,819.77,96
56,143.35,128
57,722.97,116
58,709.11,118
59,75.06,128
60,110.16,110
61,124.57,128
62,47.00,113
63,28.74,125
64,48.23,113
65,44.84,107
66,732.64,97
67,206.54,135
68,427.28,115
69,20.58,111
70,53.10,116
71,112.23,121
72,751.56,61
73,258.83,129
74,66.77,138
75,277.60,128
76,652.20,66
77,29.47,116
78,44.21,105
79,105.75,138
80,205.57,127
81,325.06,119
82,151.29,133
83,767.30,101
84,21.53,116
85,291.25,131
86,200.03,145
87,802.72,70
88,449.14,121
89,92.19,152
90,476.69,144
91,101.28,96
92,317.43,93
93,28.82,133
94,41.06,149
95,269.85,127
96,87.18,125
97,92.73,126
98,210.10,110
99,305.08,140
100,726.57,126
