Run,PathCost,ComputationTime,ValidPath
1,32.4394,27.2327,false
2,19.6443,0.225769,false
3,27.1102,27.2654,false
4,5.01691,57.415,false
5,28.3477,36.9109,false
6,16.8944,32.166,false
7,24.0503,7.66561,false
8,20.8845,1.24542,false
9,20.8276,0.761693,false
10,23.4164,6.04397,false
11,17.851,52.6607,false
12,22.9832,34.7335,false
13,20.9205,35.2327,false
14,19.4775,0.273527,false
15,19.3731,15.0749,false
16,22.3961,6.92074,false
17,22.8047,0.308123,false
18,19.4619,0.175106,false
19,14.86,53.8402,false
20,21.569,0.863038,false
21,27.9699,4.86327,false
22,21.5526,53.8224,false
23,22.0747,0.267223,false
24,25.0968,15.1988,false
25,16.5329,53.6256,false
26,21.453,0.568838,false
27,25.3989,54.0067,false
28,21.845,45.425,false
29,20.0993,0.366274,false
30,26.3002,0.97655,false
31,22.0024,54.6329,false
32,24.6004,0.806168,false
33,20.98,0.841127,false
34,22.2567,16.8539,false
35,22.1166,0.787163,false
36,31.2395,16.4123,false
37,20.1388,0.188352,false
38,24.4002,4.53423,false
39,23.9603,0.549843,false
40,20.7465,41.648,false
41,20.705,0.420477,false
42,21.6457,2.63835,false
43,22.7521,0.985034,false
44,24.4849,10.9185,false
45,19.0813,3.35277,false
46,22.0561,0.95336,false
47,25.3974,1.12832,false
48,22.0975,0.72478,false
49,24.7442,0.871518,false
50,24.1467,0.381316,false
