Run,PathCost,ComputationTime,ValidPath
1,16.1878,0.000889853,true
2,26.696,0.0165656,true
3,22.2828,0.0149298,true
4,17.6865,0.00662049,true
5,18.0426,0.010735,true
6,22.0214,0.00395648,true
7,19.6083,0.00988827,true
8,23.1065,0.0210728,true
9,23.8434,0.0156915,true
10,17.2494,0.00078573,true
11,16.4465,0.000468321,true
12,20.0907,0.00637539,true
13,27.177,0.0188798,true
14,19.8099,0.00443313,true
15,20.7873,0.00605999,true
16,19.2442,0.0412945,true
17,19.0564,0.0642284,true
18,18.0886,0.000879015,true
19,20.3938,0.0189275,true
20,18.2493,0.0156827,true
21,15.1942,0.00211304,true
22,17.9256,0.00103098,true
23,20.9552,0.0246213,true
24,21.8617,0.00889557,true
25,19.9377,0.0172954,true
26,17.1934,0.00428,true
27,19.0392,0.0411551,true
28,15.1325,0.000273297,true
29,20.8614,0.0168137,true
30,28.9598,0.0176891,true
31,18.7185,0.0446469,true
32,16.4087,0.00125718,true
33,18.2807,0.0254498,true
34,20.2885,0.0297128,true
35,18.4811,0.0140407,true
36,21.9104,0.0225643,true
37,16.5602,0.015849,true
38,21.5822,0.000546818,true
39,18.427,0.0068434,true
40,19.6135,0.0608594,true
41,16.4571,0.00966644,true
42,16.9465,0.000623284,true
43,20.1138,0.00228306,true
44,19.0169,0.00339928,true
45,18.0088,0.00478884,true
46,17.751,0.000914472,true
47,22.5071,0.00904387,true
48,23.0869,0.02088,true
49,16.6253,0.00723648,true
50,20.9576,0.0140487,true
