Run,PathCost,ComputationTime,ValidPath
1,25.4682,99.9723,true
2,24.9517,101.415,true
3,25.4967,96.1199,true
4,28.6546,82.2545,true
5,27.0502,81.8347,true
6,24.8027,79.1063,true
7,29.459,79.7734,true
8,32.1368,82.6055,true
9,23.9706,83.7374,true
10,28.1532,77.6719,true
11,28.8743,77.409,true
12,24.5719,75.6929,true
13,24.1895,74.7923,true
14,31.3536,75.006,true
15,28.5535,79.2892,true
16,28.7937,81.5906,true
17,31.8978,79.5805,true
18,1.03279,76.8819,true
19,30.5785,75.1795,true
20,30.2047,76.5232,true
21,26.7779,75.7207,true
22,25.4579,74.9837,true
23,12.0315,76.1297,true
24,26.6735,75.2992,true
25,24.2719,76.2545,true
26,26.1834,76.5131,true
27,29.1998,78.6357,true
28,28.3405,77.8811,true
29,28.2444,76.7112,true
30,28.1074,77.1488,true
31,33.7239,77.9613,true
32,24.5939,78.2053,true
33,27.5734,77.0176,true
34,28.9292,74.1471,true
35,29.1914,74.4856,true
36,28.5539,75.4708,true
37,26.6581,80.5928,true
38,28.6707,83.2069,true
39,30.6218,79.2173,true
40,24.9859,78.1178,true
41,30.2666,78.9129,true
42,24.8083,65.8692,true
43,26.121,63.9449,true
44,26.5398,60.7019,true
45,23.2702,61.0101,true
46,30.1095,60.5679,true
47,31.4195,60.1068,true
48,31.1583,60.3933,true
49,31.8081,60.5892,true
50,30.7639,59.8787,true
