Run,PathCost,ComputationTime,ValidPath
1,21.5093,72.9709,false
2,25.0379,0.364331,false
3,27.0591,0.853462,false
4,23.7853,0.169025,false
5,32.1089,11.7822,false
6,30.3063,0.476396,false
7,27.1496,1.41029,false
8,27.0963,65.732,false
9,28.0638,65.3589,false
10,26.6766,0.708716,false
11,39.839,2.59497,false
12,36.3267,2.83197,false
13,83.7374,79.0799,false
14,26.1921,1.95872,false
15,29.4338,1.04959,false
16,26.5363,0.475693,false
17,73.5929,60.8204,false
18,29.4392,61.3611,false
19,15.6521,61.3279,false
20,23.7244,3.46174,false
21,1.78617,56.7839,false
22,39.5624,22.3714,false
23,38.855,25.7521,false
24,3.56748,57.7196,false
25,14.236,57.0067,false
26,27.6579,0.848013,false
27,26.8613,1.2314,false
28,63.4687,57.5851,false
29,13.6876,56.0872,false
30,29.3258,0.677347,false
31,23.0091,0.206965,false
32,24.8092,2.67844,false
33,56.4163,50.9881,false
34,21.3366,54.731,false
35,30.6993,1.16406,false
36,32.9314,3.5711,false
37,36.1505,1.97775,false
38,34.4121,13.3196,false
39,74.5622,55.3308,false
40,77.338,29.3124,false
41,24.3335,0.247167,false
42,26.3241,0.863167,false
43,27.9879,0.575486,false
44,46.9844,55.1844,false
45,28.6778,1.19302,false
46,28.2157,0.469307,false
47,10.0828,56.0456,false
48,59.4052,55.8879,false
49,22.9322,0.139572,false
50,38.2886,39.5844,false
