Run,PathCost,ComputationTime,ValidPath
1,21.9686,0.0140633,true
2,19.303,0.00541422,true
3,18.6994,0.00365195,true
4,21.8346,0.87188,true
5,21.2107,0.758544,true
6,17.2862,0.450236,true
7,20.0481,0.899108,true
8,20.2985,0.0597323,true
9,18.0765,0.00506257,true
10,19.9746,0.0316157,true
11,22.4148,0.299382,true
12,20.8596,0.00893574,true
13,20.7213,0.227584,true
14,17.9161,0.0062291,true
15,24.2543,0.0271002,true
16,24.6426,0.924531,true
17,17.8475,0.00337593,true
18,19.2554,0.101674,true
19,19.7671,0.0133214,true
20,18.7921,0.0394289,true
21,20.9691,0.00687316,true
22,26.819,0.344087,true
23,27.7473,0.508212,true
24,22.1051,0.00995612,true
25,19.3311,0.412601,true
26,18.8782,0.0037947,true
27,20.5175,0.00913863,true
28,18.8757,0.00327106,true
29,21.2049,0.0238589,true
30,21.0015,0.270153,true
31,19.9202,0.117738,true
32,19.4227,0.283976,true
33,20.4591,0.0280318,true
34,20.8159,0.00928598,true
35,20.0323,0.100621,true
36,20.6403,0.394711,true
37,17.4057,0.00239198,true
38,19.1435,0.0390738,true
39,18.6994,0.0046157,true
40,20.1523,0.165792,true
41,18.7623,0.0487803,true
42,20.4926,0.0850633,true
43,19.0242,1.12974,true
44,17.8525,0.270646,true
45,19.1183,0.0488765,true
46,19.9033,0.797324,true
47,21.8568,0.0602822,true
48,19.1988,0.002901,true
49,22.7407,0.486934,true
50,20.1487,0.138482,true
