Run,PathCost,ComputationTime,ValidPath
1,20.2189,0.327715,true
2,17.5967,0.0120025,true
3,22.2765,0.0880388,true
4,19.0479,0.00784284,true
5,19.1521,1.01688,true
6,16.2072,0.0077964,true
7,21.432,0.0579875,true
8,22.0544,0.227136,true
9,18.4576,0.00420509,true
10,17.2317,0.0023885,true
11,22.923,0.512617,true
12,23.3801,0.327526,true
13,20.0343,0.376548,true
14,18.9764,0.00434146,true
15,19.1651,0.231116,true
16,20.2816,0.291487,true
17,16.988,0.147916,true
18,21.2529,0.923028,true
19,18.7421,0.49379,true
20,20.049,0.488654,true
21,21.385,0.066773,true
22,18.8069,0.00720553,true
23,19.3281,0.00677877,true
24,17.6786,0.00538534,true
25,19.1895,0.616422,true
26,18.0573,0.728815,true
27,18.406,0.00739205,true
28,20.6087,0.532682,true
29,22.8823,1.45777,true
30,17.825,0.00375799,true
31,21.6023,0.732317,true
32,19.5906,0.007,true
33,21.4139,1.15973,true
34,18.2211,0.00459051,true
35,19.1376,0.201506,true
36,20.3872,0.0584213,true
37,21.6979,0.0142078,true
38,28.0893,0.274183,true
39,21.8228,0.0332992,true
40,24.2336,0.183482,true
41,21.811,0.347824,true
42,21.3757,0.361336,true
43,16.7675,0.00435711,true
44,18.3746,0.0174918,true
45,17.5683,0.00353374,true
46,22.654,0.265704,true
47,18.1194,0.17858,true
48,21.4222,0.111315,true
49,19.6638,0.114873,true
50,21.3796,0.0134998,true
