Run,PathCost,ComputationTime,ValidPath
1,27.798,32.0837,false
2,28.2382,1.26054,false
3,23.9914,0.618957,false
4,21.11,0.465339,false
5,24.8262,0.472567,false
6,28.2803,42.9642,false
7,23.0359,0.811401,false
8,36.7611,31.1232,false
9,30.588,1.38218,false
10,26.3815,1.02473,false
11,23.0304,1.95019,false
12,19.4403,0.216868,false
13,25.5191,10.0971,false
14,23.7447,54.7295,false
15,30.3614,2.1122,false
16,27.0934,8.25906,false
17,31.1075,25.0762,false
18,24.4951,0.408147,false
19,20.3448,0.507927,false
20,21.6992,46.6254,false
21,23.2117,0.213409,false
22,29.6233,10.9455,false
23,21.2152,0.195801,false
24,23.0348,1.21387,false
25,25.981,2.91208,false
26,27.2594,2.11154,false
27,1.34792,56.3393,false
28,20.0851,1.353,false
29,18.3029,54.1579,false
30,18.2568,0.248478,false
31,20.5898,0.351623,false
32,22.5907,0.288253,false
33,22.7751,1.2951,false
34,29.2603,53.4865,false
35,1.21274,54.0405,false
36,26.9718,22.1231,false
37,6.08485,55.455,false
38,22.1043,0.356077,false
39,26.0224,1.6886,false
40,24.358,9.72868,false
41,8.99952,55.0743,false
42,26.3811,1.82678,false
43,27.6146,3.70601,false
44,21.8551,0.368418,false
45,23.78,3.79697,false
46,25.9105,2.66794,false
47,19.262,21.5643,false
48,24.6224,0.481295,false
49,2.32057,54.2346,false
50,23.702,54.6251,false
