Run,PathCost,ComputationTime,ValidPath
1,20.0577,0.0180599,true
2,25.1479,0.0397525,true
3,21.5075,0.0197224,true
4,25.6793,0.0265082,true
5,18.6958,0.0273952,true
6,17.4509,0.0155698,true
7,17.4648,0.0316175,true
8,20.3482,0.0387862,true
9,17.0344,0.00161711,true
10,25.4675,0.0157148,true
11,29.1063,0.0491354,true
12,18.7969,0.00882486,true
13,18.491,0.0152334,true
14,17.1997,0.00154732,true
15,16.6828,0.0395483,true
16,22.7968,0.018717,true
17,21.6665,0.0343872,true
18,17.5362,0.000490901,true
19,17.7411,0.0754172,true
20,20.2549,0.0670219,true
21,20.3871,0.0083112,true
22,21.4076,0.0181854,true
23,20.8125,0.0291956,true
24,18.4485,0.0952137,true
25,21.6746,0.00135267,true
26,19.9036,0.00169164,true
27,26.2759,0.0475765,true
28,16.1477,0.00742401,true
29,20.4811,0.0366458,true
30,18.7612,0.0121531,true
31,22.3988,0.00667417,true
32,21.1493,0.00296552,true
33,19.4302,0.0383953,true
34,17.5442,0.000726755,true
35,17.692,0.028543,true
36,17.0577,0.00241485,true
37,17.6805,0.00575895,true
38,20.4182,0.0145496,true
39,20.7039,0.0250062,true
40,19.1495,0.022093,true
41,26.5399,0.0353648,true
42,21.0513,0.0267757,true
43,19.6286,0.0188818,true
44,22.0702,0.0198094,true
45,19.3849,0.042766,true
46,19.3973,0.00744859,true
47,16.7394,0.000597905,true
48,18.2704,0.0250985,true
49,18.6312,0.000934576,true
50,24.7815,0.0259847,true
