Run,PathCost,ComputationTime,ValidPath
1,17.1849,0.00956078,true
2,20.0491,0.0337759,true
3,19.3789,0.00774128,true
4,18.7493,0.00228896,true
5,23.0672,0.0436047,true
6,18.0308,0.00833587,true
7,20.6554,0.0182369,true
8,18.4514,0.0364315,true
9,23.0776,0.0541992,true
10,21.2935,0.00122324,true
11,19.4111,0.00477456,true
12,19.8497,0.0103499,true
13,17.9304,0.000726783,true
14,17.5845,0.00303278,true
15,19.9691,0.0247073,true
16,20.7044,0.061765,true
17,17.551,0.00225803,true
18,16.8414,0.000404467,true
19,19.2706,0.0239087,true
20,17.5933,0.0145906,true
21,19.0145,0.00190622,true
22,16.4753,0.0273908,true
23,19.747,0.00156539,true
24,18.1019,0.000565412,true
25,17.2222,0.0165827,true
26,21.829,0.0250179,true
27,19.599,0.000388004,true
28,25.2021,0.0966426,true
29,20.4584,0.0666303,true
30,19.9804,0.109119,true
31,26.9009,0.0201798,true
32,19.5041,0.0191215,true
33,20.4457,0.016669,true
34,20.5629,0.034189,true
35,26.4576,0.00182014,true
36,18.9614,0.00102773,true
37,15.8818,0.00086913,true
38,19.8728,0.054406,true
39,17.8426,0.0107299,true
40,20.1126,0.0556072,true
41,21.7115,0.0130383,true
42,19.233,0.0224721,true
43,19.1511,0.00674216,true
44,29.3086,0.0283415,true
45,17.6782,0.00846495,true
46,20.6965,0.00176574,true
47,17.6401,0.0033001,true
48,19.1202,0.0408385,true
49,16.3873,0.000278815,true
50,16.9847,0.00399211,true
