Run,PathCost,ComputationTime,ValidPath
1,25.523,1.36981,true
2,24.4276,0.350391,true
3,20.0995,2.79053,true
4,18.6835,0.0147425,true
5,20.043,0.0228022,true
6,20.321,0.01066,true
7,19.0632,0.0209587,true
8,23.1747,0.044412,true
9,19.4551,0.305516,true
10,18.9914,0.007082,true
11,19.2975,0.0135766,true
12,18.2113,0.0638287,true
13,19.8326,0.0629869,true
14,19.5029,0.22245,true
15,19.7032,0.0106592,true
16,18.9853,1.8289,true
17,24.3821,2.89673,true
18,23.5452,0.953686,true
19,18.213,0.0262696,true
20,25.8463,3.3637,true
21,22.13,0.00829272,true
22,30.058,3.3081,true
23,16.88,0.0179896,true
24,22.3891,0.486951,true
25,22.6201,1.64458,true
26,21.008,0.154142,true
27,22.9953,1.70016,true
28,20.367,0.0214843,true
29,23.9221,2.02569,true
30,19.1887,0.0111055,true
31,22.2005,0.0320827,true
32,19.7319,0.00780765,true
33,20.0894,0.023714,true
34,20.3429,0.0442715,true
35,19.7887,1.10838,true
36,20.3558,1.91548,true
37,19.8625,0.00828792,true
38,18.934,4.23391,true
39,19.8041,0.00445944,true
40,20.4126,0.0410402,true
41,18.8345,0.127524,true
42,21.0966,2.33726,true
43,21.6996,0.00618352,true
44,22.0018,0.797247,true
45,19.6287,0.00695691,true
46,19.4135,1.50123,true
47,17.6288,0.139425,true
48,19.4495,0.0287263,true
49,22.1701,0.0756298,true
50,21.5295,0.182607,true
