n,r,run,valid,path_length,computation_time
5000,0.5,1,1,51.2137,0.0596097
5000,0.5,2,1,49.083,0.0274592
5000,0.5,3,1,51.5064,0.0226369
5000,0.5,4,1,55.0132,0.10612
5000,0.5,5,1,45.5365,0.00918669
5000,0.5,6,1,51.0595,0.00859915
5000,0.5,7,1,54.2465,0.0183201
5000,0.5,8,1,45.7399,0.00996449
5000,0.5,9,1,44.6435,0.00359835
5000,0.5,10,1,48.0161,0.0138604
5000,0.5,11,1,54.7205,0.0087262
5000,0.5,12,1,55.6944,0.0223356
5000,0.5,13,1,51.7108,0.0172146
5000,0.5,14,1,46.227,0.00776424
5000,0.5,15,1,48.6616,0.00840046
5000,0.5,16,1,46.7343,0.00526462
5000,0.5,17,1,49.2298,0.0106678
5000,0.5,18,1,50.1955,0.00673289
5000,0.5,19,1,50.0753,0.011982
5000,0.5,20,1,50.7375,0.00499503
5000,0.5,21,1,48.6547,0.0102862
5000,0.5,22,1,48.7226,0.0286562
5000,0.5,23,1,47.6974,0.00620563
5000,0.5,24,1,53.6278,0.00971331
5000,0.5,25,1,53.045,0.0059251
5000,0.5,26,1,54.5883,0.00674775
5000,0.5,27,1,44.5455,0.0032996
5000,0.5,28,1,45.568,0.00424379
5000,0.5,29,1,46.1768,0.00547295
5000,0.5,30,1,50.6611,0.00586523
5000,0.5,31,1,46.7463,0.00985157
5000,0.5,32,1,45.0082,0.00217923
5000,0.5,33,1,45.6203,0.00351654
5000,0.5,34,1,43.6857,0.0032829
5000,0.5,35,1,47.7178,0.00829177
5000,0.5,36,1,46.1544,0.00694159
5000,0.5,37,1,46.7026,0.00496154
5000,0.5,38,1,53.0602,0.00799244
5000,0.5,39,1,58.5632,0.0148733
5000,0.5,40,1,50.0118,0.00569382
5000,0.5,41,1,54.246,0.00764468
5000,0.5,42,1,52.1297,0.0132275
5000,0.5,43,1,48.5074,0.00856687
5000,0.5,44,1,51.5809,0.0329645
5000,0.5,45,1,50.5838,0.00598848
5000,0.5,46,1,55.567,0.00893582
5000,0.5,47,1,45.5193,0.00628733
5000,0.5,48,1,50.0498,0.00685025
5000,0.5,49,1,47.0218,0.00327613
5000,0.5,50,1,49.613,0.00898793
5000,0.5,51,1,48.0624,0.012139
5000,0.5,52,1,49.0559,0.00973584
5000,0.5,53,1,49.7268,0.0141947
5000,0.5,54,1,47.5016,0.00778423
5000,0.5,55,1,51.6686,0.00729431
5000,0.5,56,1,46.6272,0.00579259
5000,0.5,57,1,53.6604,0.00661406
5000,0.5,58,1,51.1217,0.0106616
5000,0.5,59,1,47.1199,0.00636845
5000,0.5,60,1,47.5277,0.00755672
5000,0.5,61,1,45.5457,0.00525743
5000,0.5,62,1,48.0645,0.00780149
5000,0.5,63,1,47.1824,0.00480811
5000,0.5,64,1,51.5319,0.00744221
5000,0.5,65,1,51.0795,0.0107282
5000,0.5,66,1,46.7198,0.00723972
5000,0.5,67,1,49.2486,0.00918362
5000,0.5,68,1,48.0832,0.00943058
5000,0.5,69,1,52.7296,0.0202177
5000,0.5,70,1,53.0747,0.0160396
5000,0.5,71,1,49.2012,0.0122421
5000,0.5,72,1,48.5253,0.00380725
5000,0.5,73,1,50.7307,0.0104203
5000,0.5,74,1,48.5107,0.00613998
5000,0.5,75,1,55.5033,0.0124565
5000,0.5,76,1,48.2434,0.00947958
5000,0.5,77,1,48.6512,0.0107695
5000,0.5,78,1,51.718,0.015145
5000,0.5,79,1,48.1232,0.00534
5000,0.5,80,1,47.1652,0.00722978
5000,0.5,81,1,48.6703,0.00657911
5000,0.5,82,1,49.5758,0.0102625
5000,0.5,83,1,47.6073,0.00668441
5000,0.5,84,1,51.5536,0.0115426
5000,0.5,85,1,51.0218,0.00934755
5000,0.5,86,1,51.0656,0.00764807
5000,0.5,87,1,46.0785,0.0037977
5000,0.5,88,1,49.1852,0.01017
5000,0.5,89,1,51.2481,0.00829646
5000,0.5,90,1,52.1896,0.00760325
5000,0.5,91,1,48.0004,0.00515233
5000,0.5,92,1,50.0321,0.00861069
5000,0.5,93,1,47.5159,0.00741021
5000,0.5,94,1,53.5041,0.021755
5000,0.5,95,1,51.2268,0.00894844
5000,0.5,96,1,52.6925,0.0140082
5000,0.5,97,1,50.0586,0.0106819
5000,0.5,98,1,49.1731,0.00748224
5000,0.5,99,1,55.6458,0.0155604
5000,0.5,100,1,50.0319,0.00659418
