n,r,run,valid,path_length,computation_time
200,0.5,1,0,0,0.00342773
200,0.5,2,0,0,0.00373231
200,0.5,3,0,0,0.00342511
200,0.5,4,0,0,0.00390106
200,0.5,5,0,0,0.0038385
200,0.5,6,0,0,0.00358241
200,0.5,7,0,0,0.00354992
200,0.5,8,0,0,0.00358637
200,0.5,9,0,0,0.00336122
200,0.5,10,0,0,0.0031022
200,0.5,11,0,0,0.00359622
200,0.5,12,0,0,0.0038485
200,0.5,13,0,0,0.0036416
200,0.5,14,0,0,0.00369686
200,0.5,15,0,0,0.0037136
200,0.5,16,0,0,0.00375168
200,0.5,17,0,0,0.00381151
200,0.5,18,0,0,0.00356153
200,0.5,19,0,0,0.00356386
200,0.5,20,0,0,0.00347832
200,0.5,21,0,0,0.00366856
200,0.5,22,0,0,0.00377918
200,0.5,23,0,0,0.00371025
200,0.5,24,0,0,0.00371436
200,0.5,25,0,0,0.00383939
200,0.5,26,0,0,0.00328787
200,0.5,27,0,0,0.00380126
200,0.5,28,0,0,0.00371917
200,0.5,29,0,0,0.00291573
200,0.5,30,0,0,0.00161543
200,0.5,31,0,0,0.00175277
200,0.5,32,0,0,0.00165581
200,0.5,33,0,0,0.00160846
200,0.5,34,0,0,0.00169547
200,0.5,35,0,0,0.00151145
200,0.5,36,0,0,0.0014604
200,0.5,37,0,0,0.00164388
200,0.5,38,0,0,0.00180677
200,0.5,39,0,0,0.00150192
200,0.5,40,0,0,0.00172096
200,0.5,41,0,0,0.00173698
200,0.5,42,0,0,0.00168916
200,0.5,43,0,0,0.00181008
200,0.5,44,0,0,0.00159517
200,0.5,45,0,0,0.00147422
200,0.5,46,0,0,0.00171353
200,0.5,47,0,0,0.00198152
200,0.5,48,0,0,0.00171191
200,0.5,49,0,0,0.00154287
200,0.5,50,0,0,0.00200282
200,0.5,51,0,0,0.0026177
200,0.5,52,0,0,0.00264149
200,0.5,53,0,0,0.0026551
200,0.5,54,0,0,0.00199273
200,0.5,55,0,0,0.00200375
200,0.5,56,0,0,0.00170841
200,0.5,57,0,0,0.00164586
200,0.5,58,0,0,0.00163421
200,0.5,59,0,0,0.00111113
200,0.5,60,0,0,0.000807895
200,0.5,61,0,0,0.000907281
200,0.5,62,0,0,0.000840107
200,0.5,63,0,0,0.000822558
200,0.5,64,0,0,0.000976651
200,0.5,65,0,0,0.000874649
200,0.5,66,0,0,0.000924334
200,0.5,67,0,0,0.00120451
200,0.5,68,0,0,0.000828663
200,0.5,69,0,0,0.00122783
200,0.5,70,0,0,0.000703245
200,0.5,71,0,0,0.000724086
200,0.5,72,0,0,0.000595806
200,0.5,73,0,0,0.00067962
200,0.5,74,0,0,0.000653176
200,0.5,75,0,0,0.000732057
200,0.5,76,0,0,0.000630348
200,0.5,77,0,0,0.000664966
200,0.5,78,0,0,0.000775867
200,0.5,79,0,0,0.000743348
200,0.5,80,0,0,0.000646589
200,0.5,81,0,0,0.000657391
200,0.5,82,0,0,0.000522668
200,0.5,83,0,0,0.000537737
200,0.5,84,0,0,0.000595534
200,0.5,85,0,0,0.000515323
200,0.5,86,0,0,0.000605493
200,0.5,87,0,0,0.000502047
200,0.5,88,0,0,0.000543953
200,0.5,89,0,0,0.000570515
200,0.5,90,0,0,0.000502708
200,0.5,91,0,0,0.000584862
200,0.5,92,0,0,0.000526316
200,0.5,93,0,0,0.000533735
200,0.5,94,0,0,0.000543087
200,0.5,95,0,0,0.000565094
200,0.5,96,0,0,0.000531958
200,0.5,97,0,0,0.000541326
200,0.5,98,0,0,0.000510019
200,0.5,99,0,0,0.000475383
200,0.5,100,0,0,0.000529567
200,1,1,0,0,0.00114522
200,1,2,0,0,0.00105862
200,1,3,0,0,0.000931328
200,1,4,0,0,0.000889928
200,1,5,0,0,0.00109311
200,1,6,0,0,0.00093079
200,1,7,0,0,0.00100965
200,1,8,0,0,0.000968409
200,1,9,0,0,0.000700341
200,1,10,0,0,0.000815067
200,1,11,0,0,0.000824939
200,1,12,0,0,0.000924273
200,1,13,0,0,0.000863019
200,1,14,0,0,0.000748306
200,1,15,0,0,0.000788547
200,1,16,0,0,0.00082299
200,1,17,0,0,0.00100375
200,1,18,0,0,0.000907333
200,1,19,0,0,0.000712638
200,1,20,0,0,0.000757023
200,1,21,0,0,0.000802197
200,1,22,0,0,0.000789313
200,1,23,0,0,0.000959648
200,1,24,0,0,0.000756724
200,1,25,0,0,0.000895828
200,1,26,0,0,0.000757139
200,1,27,0,0,0.000858077
200,1,28,0,0,0.00104238
200,1,29,0,0,0.00103185
200,1,30,0,0,0.00103383
200,1,31,0,0,0.000653252
200,1,32,0,0,0.000654162
200,1,33,0,0,0.000651054
200,1,34,0,0,0.000550512
200,1,35,0,0,0.000693537
200,1,36,0,0,0.000796424
200,1,37,0,0,0.000648142
200,1,38,0,0,0.000860805
200,1,39,0,0,0.000733202
200,1,40,0,0,0.000670198
200,1,41,0,0,0.000754893
200,1,42,0,0,0.000703343
200,1,43,0,0,0.000815314
200,1,44,0,0,0.000645251
200,1,45,0,0,0.000851483
200,1,46,0,0,0.000754585
200,1,47,0,0,0.000876675
200,1,48,0,0,0.000924299
200,1,49,0,0,0.000752215
200,1,50,0,0,0.000837872
200,1,51,0,0,0.000790587
200,1,52,0,0,0.000769179
200,1,53,0,0,0.000728957
200,1,54,0,0,0.000677542
200,1,55,0,0,0.000824868
200,1,56,0,0,0.000737017
200,1,57,0,0,0.000980074
200,1,58,0,0,0.0009591
200,1,59,0,0,0.000890159
200,1,60,0,0,0.000672267
200,1,61,0,0,0.000709769
200,1,62,0,0,0.000691158
200,1,63,0,0,0.000938818
200,1,64,0,0,0.000682421
200,1,65,0,0,0.000720785
200,1,66,0,0,0.000692711
200,1,67,0,0,0.000623648
200,1,68,0,0,0.00069806
200,1,69,0,0,0.000685698
200,1,70,0,0,0.000938277
200,1,71,0,0,0.000780288
200,1,72,0,0,0.000752799
200,1,73,0,0,0.000679101
200,1,74,0,0,0.000657706
200,1,75,0,0,0.000862809
200,1,76,0,0,0.000878675
