n,r,run,valid,path_length,computation_time
5000,0.5,1,1,17.12,0.00101703
5000,0.5,2,1,20.5644,0.0012154
5000,0.5,3,1,20.6671,0.00408498
5000,0.5,4,1,19.1246,0.0104338
5000,0.5,5,1,19.528,0.00198131
5000,0.5,6,1,19.6183,0.0369906
5000,0.5,7,1,19.1191,0.00203347
5000,0.5,8,1,20.0927,0.00121628
5000,0.5,9,1,20.5685,0.00125306
5000,0.5,10,1,22.5968,0.0162018
5000,0.5,11,1,17.588,0.00188939
5000,0.5,12,1,21.6643,0.00467598
5000,0.5,13,1,21.7364,0.0176104
5000,0.5,14,1,19.5191,0.010096
5000,0.5,15,1,17.1164,0.00112731
5000,0.5,16,1,19.1927,0.00393289
5000,0.5,17,1,18.5603,0.00562902
5000,0.5,18,1,18.1833,0.0165399
5000,0.5,19,1,21.5247,0.0274342
5000,0.5,20,1,22.713,0.0341628
5000,0.5,21,1,17.1482,0.00194452
5000,0.5,22,1,21.2499,0.0122189
5000,0.5,23,1,20.6384,0.00265456
5000,0.5,24,1,21.687,0.00596948
5000,0.5,25,1,20.5682,0.00666366
5000,0.5,26,1,17.6145,0.00353523
5000,0.5,27,1,20.0346,0.00408129
5000,0.5,28,1,18.7485,0.000342722
5000,0.5,29,1,17.231,0.000214628
5000,0.5,30,1,20.1977,0.000408462
5000,0.5,31,1,18.0576,0.00050445
5000,0.5,32,1,18.0154,0.000497212
5000,0.5,33,1,19.7408,0.00114875
5000,0.5,34,1,17.7456,0.000264963
5000,0.5,35,1,19.5822,0.00221617
5000,0.5,36,1,18.2493,0.000271171
5000,0.5,37,1,20.1677,0.000296744
5000,0.5,38,1,19.1876,0.000324072
5000,0.5,39,1,19.0691,0.00141384
5000,0.5,40,1,17.7105,0.000222108
5000,0.5,41,1,18.1889,0.0180573
5000,0.5,42,1,18.7477,0.00129192
5000,0.5,43,1,19.2032,0.00130027
5000,0.5,44,1,18.6629,0.000328555
5000,0.5,45,1,24.0896,0.00873971
5000,0.5,46,1,18.6878,0.0022799
5000,0.5,47,1,18.1039,0.000184105
5000,0.5,48,1,19.2432,0.000206743
5000,0.5,49,1,19.7328,0.000909969
5000,0.5,50,1,19.6562,0.000213362
5000,0.5,51,1,19.5207,0.0043792
5000,0.5,52,1,18.0352,0.00387393
5000,0.5,53,1,22.2236,0.0014074
5000,0.5,54,1,20.1403,0.00633299
5000,0.5,55,1,18.1027,0.00024296
5000,0.5,56,1,18.6752,0.000441553
5000,0.5,57,1,17.6042,0.000206714
5000,0.5,58,1,19.0071,0.00190571
5000,0.5,59,1,20.0701,0.00551574
5000,0.5,60,1,21.1374,0.000430281
5000,0.5,61,1,18.5217,0.00247248
5000,0.5,62,1,23.0377,0.00739033
5000,0.5,63,1,21.5586,0.0140604
5000,0.5,64,1,19.6491,0.0122441
5000,0.5,65,1,19.1121,0.00092303
5000,0.5,66,1,17.7036,0.000718066
5000,0.5,67,1,25.2305,0.00467137
5000,0.5,68,1,16.682,0.000937676
5000,0.5,69,1,21.5518,0.00581116
5000,0.5,70,1,20.2241,0.00321562
5000,0.5,71,1,22.5126,0.00678948
5000,0.5,72,1,18.6683,0.00418355
5000,0.5,73,1,24.5489,0.0103507
5000,0.5,74,1,22.5046,0.0104331
5000,0.5,75,1,18.708,0.00207701
5000,0.5,76,1,19.5167,0.000324142
5000,0.5,77,1,19.6293,0.00132201
5000,0.5,78,1,21.6946,0.000615983
5000,0.5,79,1,18.6934,0.000391442
5000,0.5,80,1,17.699,0.000182202
5000,0.5,81,1,23.6026,0.0031255
5000,0.5,82,1,18.2348,0.00379073
5000,0.5,83,1,17.0456,0.00033565
5000,0.5,84,1,18.5356,0.000260506
5000,0.5,85,1,18.2057,0.000256767
5000,0.5,86,1,16.0478,0.000211276
5000,0.5,87,1,18.1314,0.0198212
5000,0.5,88,1,18.0653,0.00304823
5000,0.5,89,1,17.7432,0.000900099
5000,0.5,90,1,20.1493,0.000564125
5000,0.5,91,1,17.5103,0.00273306
5000,0.5,92,1,20.0375,0.00123747
5000,0.5,93,1,20.0815,0.00174287
5000,0.5,94,1,22.6215,0.00227503
5000,0.5,95,1,19.1504,0.0107791
5000,0.5,96,1,20.1542,0.000379901
5000,0.5,97,1,17.1449,0.00020271
5000,0.5,98,1,19.0529,0.000185972
5000,0.5,99,1,19.7233,0.00037055
5000,0.5,100,1,18.2412,0.00034378
